ID,Place name,Location,Magnitude,Depth,Time,
nc72610795,9km WNW of The Geysers, California,0.33,3.06,Mon Mar 21 21:44:29 PDT 2016,
nc72610790,3km W of Cobb, California,0.89,1.06,Mon Mar 21 21:39:57 PDT 2016,
us20005bn8,1km NE of Cushing, Oklahoma,2.3,2.57,Mon Mar 21 21:37:38 PDT 2016,
nc72610780,9km WNW of The Geysers, California,0.57,3.84,Mon Mar 21 21:26:58 PDT 2016,
nc72610775,9km WNW of The Geysers, California,0.69,2.86,Mon Mar 21 21:24:06 PDT 2016,
ci37538352,4km WSW of Adelanto, California,1.47,1.34,Mon Mar 21 21:22:45 PDT 2016,
nc72610765,9km WNW of The Geysers, California,1.22,2.74,Mon Mar 21 21:20:25 PDT 2016,
nn00536760,23km ESE of Hawthorne, Nevada,2.1,5.1,Mon Mar 21 21:19:29 PDT 2016,
nc72610760,2km NE of The Geysers, California,0.89,0.96,Mon Mar 21 21:17:38 PDT 2016,
uw61118742,17km SE of Basin City, Washington,1.02,10.48,Mon Mar 21 21:10:13 PDT 2016,
